Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
9,No,35,1,3595,74,21,23,3,Month,Active,30,230.76,No
2,No,35,0,2180,31,274,13,3,Month,Active,30,1184.44,No
11,No,34,2,8935,113,133,38,3,Month,Active,30,893.92,No
5,No,35,0,13593,161,0,39,3,Month,Active,30,550.16,No
5,No,35,1,4335,75,0,20,3,Month,Active,30,176.4,No
4,No,35,0,5738,87,0,7,3,Month,Active,30,233,No
7,No,35,0,2058,46,0,12,3,Month,Not_Active,30,84.16,No
23,No,35,3,14960,217,43,27,3,Month,Active,30,779.08,No
2,No,35,1,2915,19,472,3,3,Month,Active,30,2005.36,No
7,No,34,0,15305,174,139,25,2,Month,Active,25,1322.055,No
1,No,34,1,6320,78,175,21,3,Month,Active,30,955.92,No
0,No,34,0,695,6,0,6,2,Month,Not_Active,25,31.545,No
0,No,35,0,530,6,2,3,3,Month,Not_Active,30,29.44,No
0,Yes,34,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
1,No,34,0,7328,119,373,38,2,Month,Active,25,2013.615,No
5,No,34,1,11285,146,0,42,4,Month,Active,45,285.775,No
6,No,34,1,6538,67,97,32,2,Month,Active,25,733.725,No
21,Yes,30,0,775,39,5,12,2,Month,Not_Active,25,59.13,Yes
19,No,33,8,10255,85,0,37,5,Month,Active,55,155.1,No
11,Yes,33,1,5638,90,15,19,2,Month,Active,25,325.26,Yes
0,No,31,0,2660,14,0,9,3,Month,Active,30,106.96,No
7,No,32,0,2810,33,0,11,3,Month,Not_Active,30,113.72,Yes
7,Yes,33,0,2088,36,23,26,3,Month,Not_Active,30,176.96,Yes
0,No,33,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,33,0,1488,17,0,1,3,Month,Active,30,60.2,No
1,No,30,1,6605,89,3,17,5,Month,Active,55,104.91,No
0,No,33,0,0,0,0,0,4,Month,Not_Active,45,0,Yes
0,No,33,0,0,0,0,0,5,Month,Active,55,0,No
23,No,28,3,15895,230,0,75,2,Month,Active,25,725.625,No
4,No,31,3,6785,108,260,28,2,Contract,Active,25,1480.185,No
0,No,33,0,3538,74,0,23,2,Month,Active,25,162.54,No
1,No,32,0,1485,36,27,15,3,Month,Not_Active,30,168.84,No
4,No,33,0,2600,45,164,18,2,Month,Active,25,857.025,No
2,No,24,1,1135,28,182,6,2,Contract,Active,25,871.335,No
2,No,23,0,1388,31,19,63,4,Month,Active,45,82.975,No
9,No,24,0,520,17,0,2,2,Month,Not_Active,25,24.165,No
0,No,23,0,0,0,10,0,4,Month,Not_Active,45,25,No
8,No,22,0,1045,24,8,8,2,Month,Active,25,84.105,No
0,No,22,0,3045,53,0,18,3,Month,Active,30,123.92,No
0,No,15,0,1515,18,17,9,2,Month,Active,25,145.485,No
14,No,14,1,6213,133,74,37,2,Contract,Active,25,618.57,No
10,No,12,0,8753,163,62,35,4,Month,Active,45,377.9,No
6,No,13,3,2673,37,20,14,3,Month,Active,30,188.4,No
0,No,6,1,4210,32,204,5,3,Month,Active,30,985.68,No
1,No,6,1,1308,11,0,2,3,Month,Active,30,52.76,Yes
12,No,38,2,4970,81,26,32,3,Month,Active,30,306.04,No
4,No,39,0,918,15,28,19,3,Month,Not_Active,30,149.32,No
14,No,37,2,3053,70,380,39,3,Month,Active,30,1644.92,No
14,No,38,2,4798,76,22,50,1,Month,Active,15,389.07,No
7,No,38,2,2993,68,23,48,2,Month,Active,25,241.245,No
15,No,38,3,4375,92,53,43,3,Month,Active,30,390.68,No
8,No,38,2,2960,49,306,33,3,Month,Active,30,1344.36,No
17,No,37,4,9715,131,165,58,3,Contract,Active,30,1053.84,No
11,No,38,2,14373,179,21,59,3,Month,Active,30,666.08,No
11,No,38,3,5115,93,23,40,3,Month,Active,30,300.32,No
10,No,38,2,6518,105,28,27,3,Month,Active,30,376.92,No
13,No,38,0,2838,64,29,32,3,Month,Not_Active,30,232.08,No
29,No,38,5,15740,235,75,47,3,Month,Active,30,939,No
8,No,38,3,3695,37,504,23,3,Month,Active,30,2165.28,No
13,No,37,2,16085,192,171,45,2,Month,Active,25,1501.965,No
7,No,37,3,7100,96,207,41,3,Month,Active,30,1115.84,No
4,No,37,0,1475,24,21,26,2,Month,Not_Active,25,161.955,No
6,No,38,0,1310,24,34,23,3,Month,Not_Active,30,189.36,No
4,No,37,0,600,10,21,15,2,Month,Not_Active,25,121.95,Yes
7,No,37,2,8108,137,405,58,3,Month,Active,30,1949.8,No
11,No,37,3,12065,164,32,62,4,Month,Active,45,385.725,No
12,No,37,3,7318,85,129,52,2,Month,Active,25,913.635,No
27,Yes,33,0,1555,57,37,32,3,Month,Not_Active,30,212.48,Yes
25,No,36,10,11035,103,22,57,5,Contract,Active,55,200.07,No
17,No,36,3,6418,108,47,39,2,Month,Active,25,505.17,No
5,No,34,2,3440,32,21,29,3,Month,Active,30,222.88,No
13,Yes,35,0,3590,51,30,31,3,Month,Not_Active,30,265.64,Yes
13,Yes,36,0,2868,54,55,46,3,Month,Not_Active,30,336.88,Yes
4,No,36,0,733,12,21,17,3,Month,Not_Active,30,113.8,Yes
5,No,36,2,2268,35,21,21,4,Month,Active,45,110.075,No
7,No,33,3,7385,107,35,37,5,Month,Active,55,164.88,No
4,No,36,0,1228,17,30,19,4,Month,Not_Active,45,106.125,Yes
4,No,36,3,938,14,25,17,5,Month,Active,55,51.78,No
29,No,31,5,16675,248,21,95,2,Month,Active,25,856.035,No
10,No,34,5,7565,126,292,48,2,Contract,Active,25,1660.095,No
6,No,36,2,4318,92,23,43,3,Month,Active,30,268.4,No
7,Yes,35,0,2265,54,59,35,3,Month,Not_Active,30,328.76,Yes
10,No,36,2,3380,63,196,38,2,Month,Active,25,1036.935,No
8,No,27,3,1915,46,214,26,2,Contract,Active,25,1051.245,No
8,No,26,2,2168,49,51,83,4,Month,Active,45,182.925,No
15,No,27,0,1300,35,31,22,3,Month,Not_Active,30,177.4,No
4,No,26,0,1425,20,42,18,4,Month,Not_Active,45,141.125,No
14,No,25,2,1825,42,40,28,2,Month,Active,25,264.015,No
6,No,25,2,3825,71,29,38,3,Month,Active,30,271.84,No
6,No,18,2,2295,36,49,29,2,Month,Active,25,325.395,No
20,No,17,3,6993,151,106,57,2,Contract,Active,25,798.48,No
16,No,15,2,9533,181,94,55,5,Month,Active,55,286.71,No
12,No,16,5,3453,55,52,34,3,Month,Active,30,348.32,No
6,No,9,3,4990,50,236,25,3,Month,Active,30,1145.6,No
7,Yes,9,3,2088,29,21,22,3,Month,Active,30,168.68,Yes
4,No,38,0,3770,61,0,2,2,Month,Active,25,172.395,No
0,No,39,0,0,0,0,0,2,Month,Not_Active,25,0,No
6,No,37,0,1853,50,338,9,2,Month,Active,25,1606.635,No
6,No,38,0,3598,56,0,20,1,Month,Active,15,200.97,No
0,No,38,0,1793,48,0,18,1,Month,Active,15,101.255,No
7,No,38,0,3175,72,11,13,3,Month,Active,30,173.88,No
0,No,38,0,1760,29,264,3,3,Month,Active,30,1127.56,No
9,No,37,0,8515,111,123,28,3,Month,Active,30,837.04,No
3,No,38,0,13173,159,0,29,3,Month,Active,30,533.28,No
3,No,38,0,3915,73,0,10,3,Month,Active,30,159.52,No
2,No,38,0,5318,85,0,15,2,Month,Active,25,243.135,No
5,No,38,0,1638,44,0,2,3,Month,Not_Active,30,67.28,No
21,No,38,1,14540,215,33,17,3,Month,Active,30,722.2,No
0,No,38,0,2495,17,462,7,3,Month,Active,30,1948.48,No
5,No,37,0,14885,172,129,15,2,Month,Active,25,1258.065,No
0,No,37,0,5900,76,165,11,3,Month,Active,30,899.04,No
0,No,37,0,275,4,0,1,2,Month,Not_Active,25,12.555,No
0,No,38,0,110,4,0,1,2,Month,Not_Active,25,5.13,No
0,No,37,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
0,No,37,0,6908,117,363,28,2,Month,Active,25,1949.625,No
3,No,37,0,10865,144,0,32,3,Month,Active,30,440.36,No
4,No,37,0,6118,65,87,22,2,Month,Active,25,669.735,No
19,No,33,0,355,37,0,2,2,Month,Not_Active,25,17.64,Yes
17,No,36,6,9835,83,0,27,4,Month,Active,45,247.95,No
9,Yes,36,0,5218,88,5,9,2,Month,Active,25,261.27,Yes
0,No,34,0,2240,12,0,4,3,Month,Active,30,90.08,No
5,No,35,0,2390,31,0,1,3,Month,Not_Active,30,96.84,Yes
5,No,36,0,1668,34,13,16,3,Month,Not_Active,30,120.08,Yes
0,No,36,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,36,0,1068,15,0,3,3,Month,Active,30,43.32,No
0,No,33,0,6185,87,0,7,4,Month,Active,45,156.8,No
0,No,36,0,0,0,0,0,4,Month,Not_Active,45,0,Yes
0,No,36,0,0,0,0,0,5,Month,Active,55,0,No
21,No,31,1,15475,228,0,65,2,Month,Active,25,706.635,No
2,No,34,1,6365,106,250,18,2,Contract,Active,25,1416.195,No
0,No,36,0,3118,72,0,13,2,Month,Active,25,143.55,No
0,No,35,0,1065,34,17,5,3,Month,Not_Active,30,111.96,No
2,No,36,0,2180,43,154,8,2,Month,Active,25,793.035,No
0,No,27,0,715,26,172,1,2,Contract,Active,25,807.345,No
0,No,26,0,968,29,9,53,4,Month,Active,45,47.425,No
7,No,27,0,100,15,0,3,2,Month,Not_Active,25,5.175,No
0,No,26,0,0,0,0,0,4,Month,Not_Active,45,0,No
6,No,25,0,625,22,0,2,2,Month,Active,25,29.115,No
0,No,25,0,2625,51,0,8,3,Month,Active,30,107.04,No
0,No,18,0,1095,16,7,6,2,Month,Active,25,81.495,No
12,No,17,0,5793,131,64,27,1,Contract,Active,15,677.82,No
8,No,15,0,8333,161,52,25,4,Month,Active,45,342.35,No
4,No,16,1,2253,35,10,4,3,Month,Active,30,131.52,No
0,No,9,0,3790,30,194,23,3,Month,Active,30,928.8,No
0,Yes,9,0,888,9,0,3,3,Month,Active,30,35.88,Yes
8,No,39,1,4485,77,37,21,3,Month,Active,30,330.48,No
0,No,40,0,433,11,39,8,3,Month,Not_Active,30,173.76,No
10,No,38,1,2568,66,391,28,3,Month,Active,30,1669.36,No
10,No,39,1,4313,72,33,39,1,Month,Active,15,422.675,No
3,No,39,1,2508,64,34,37,2,Month,Active,25,268.74,No
11,No,39,2,3890,88,64,32,3,Month,Active,30,415.12,No
4,No,39,1,2475,45,317,22,4,Month,Active,45,855.5,No
13,No,38,3,9230,127,176,47,3,Month,Active,30,1078.28,No
7,No,39,1,13888,175,32,48,3,Month,Active,30,690.52,No
7,No,39,2,4630,89,34,29,3,Month,Active,30,324.76,No
6,No,39,1,6033,101,39,16,3,Month,Active,30,401.36,No
9,Yes,39,0,2353,60,40,21,3,Month,Not_Active,30,256.52,No
25,No,39,4,15255,231,86,36,3,Month,Active,30,963.44,No
4,No,39,2,3210,33,515,12,4,Month,Active,45,1368.575,No
9,No,38,1,15600,188,182,34,2,Month,Active,25,1529.46,No
3,No,38,2,6615,92,218,30,3,Month,Active,30,1140.28,No
0,No,38,0,990,20,32,15,2,Month,Not_Active,25,189.45,No
2,No,39,0,825,20,45,12,3,Month,Not_Active,30,213.8,No
0,No,38,0,115,6,32,4,2,Month,Not_Active,25,149.445,Yes
3,No,38,1,7623,133,416,47,3,Month,Active,30,1974.24,No
7,No,38,2,11580,160,43,51,4,Month,Active,45,401,No
8,No,38,2,6833,81,140,41,2,Month,Active,25,941.13,No
23,Yes,34,0,1070,53,48,21,3,Month,Not_Active,30,236.92,Yes
21,No,37,9,10550,99,33,46,5,Month,Active,55,209.235,No
13,No,37,2,5933,104,58,28,3,Month,Active,30,473.48,No
1,No,35,1,2955,28,32,18,3,Month,Active,30,247.32,No
9,Yes,36,0,3105,47,41,20,3,Month,Not_Active,30,290.08,Yes
9,No,37,0,2383,50,66,35,4,Month,Not_Active,45,225.825,Yes
0,No,37,0,248,8,32,6,3,Month,Not_Active,30,138.24,Yes
1,No,37,1,1783,31,32,10,4,Month,Active,45,125.35,No
3,No,34,2,6900,103,46,26,5,Month,Active,55,174.045,No
0,No,37,0,743,13,41,8,4,Month,Not_Active,45,121.4,Yes
0,No,37,2,453,10,36,6,5,Month,Active,55,60.945,No
25,No,32,4,16190,244,32,84,2,Contract,Active,25,883.53,No
6,No,35,4,7080,122,303,37,3,Contract,Active,30,1500.08,No
2,No,37,1,3833,88,34,32,3,Month,Active,30,292.84,No
3,No,36,0,1780,50,70,24,4,Month,Not_Active,45,220.75,No
6,No,37,1,2895,59,207,27,2,Month,Active,25,1064.43,No
4,No,28,2,1430,42,225,15,3,Contract,Active,30,958.88,No
4,No,27,1,1683,45,62,72,5,Month,Active,55,118.92,No
11,No,28,0,815,31,42,11,3,Month,Not_Active,30,201.84,No
0,No,27,0,940,16,53,7,4,Month,Not_Active,45,156.4,No
10,No,26,1,1340,38,51,17,2,Month,Active,25,291.51,No
2,No,26,1,3340,67,40,27,3,Month,Active,30,296.28,No
2,No,19,1,1810,32,60,18,3,Month,Active,30,313.68,No
16,No,18,2,6508,147,117,46,2,Contract,Active,25,825.975,No
12,No,16,1,9048,177,105,44,5,Month,Active,55,295.875,No
8,No,17,4,2968,51,63,23,3,Contract,Active,30,372.76,No
2,No,10,2,4505,46,247,14,3,Month,Active,30,1170.04,No
3,No,10,2,1603,25,32,11,3,Month,Active,30,193.12,Yes
8,No,37,0,4255,65,0,13,2,Month,Active,25,194.4,No
0,No,38,0,0,0,0,0,2,Month,Not_Active,25,0,No
10,No,36,0,2338,54,327,20,2,Month,Active,25,1579.14,No
10,No,37,0,4083,60,0,31,1,Month,Active,15,227.865,No
3,No,37,0,2278,52,0,29,1,Month,Active,15,128.15,No
11,No,37,0,3660,76,0,24,2,Month,Active,25,168.12,No
4,No,37,0,2245,33,253,14,3,Month,Active,30,1103.12,No
13,No,36,1,9000,115,112,39,3,Month,Active,30,812.6,No
7,No,37,0,13658,163,0,40,3,Month,Active,30,552.84,No
7,No,37,0,4400,77,0,21,3,Month,Active,30,179.08,No
6,No,37,0,5803,89,0,8,2,Month,Active,25,265.14,No
9,No,37,0,2123,48,0,13,3,Month,Not_Active,30,86.84,No
25,No,37,2,15025,219,22,28,3,Month,Active,30,697.76,No
4,No,37,0,2980,21,451,4,3,Month,Active,30,1924.04,No
9,No,36,0,15370,176,118,26,2,Month,Active,25,1230.57,No
3,No,36,0,6385,80,154,22,3,Month,Active,30,874.6,No
0,No,36,0,760,8,0,7,2,Month,Not_Active,25,34.56,No
2,No,37,0,595,8,0,4,2,Month,Not_Active,25,27.135,No
0,Yes,36,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
3,No,36,0,7393,121,352,39,2,Month,Active,25,1922.13,No
7,No,36,0,11350,148,0,43,3,Month,Active,30,459.92,No
8,No,36,0,6603,69,76,33,2,Month,Active,25,642.24,No
23,No,32,0,840,41,0,13,2,Month,Not_Active,25,39.645,Yes
21,No,35,7,10320,87,0,38,4,Contract,Active,45,260.175,No
13,Yes,35,0,5703,92,0,20,2,Month,Active,25,260.775,Yes
1,No,33,0,2725,16,0,10,3,Month,Active,30,109.64,No
9,Yes,34,0,2875,35,0,12,2,Month,Not_Active,25,130.95,Yes
9,No,35,0,2153,38,2,27,3,Month,Not_Active,30,95.64,Yes
0,No,35,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
1,No,35,0,1553,19,0,2,3,Month,Active,30,62.88,No
3,No,32,0,6670,91,0,18,4,Month,Active,45,169.025,No
0,No,35,0,513,1,0,3,4,Month,Not_Active,45,12.85,Yes
0,No,35,0,0,0,0,0,4,Month,Active,45,0,No
25,No,30,2,15960,232,0,76,2,Month,Active,25,728.64,No
6,No,33,2,6850,110,239,29,2,Contract,Active,25,1388.7,No
2,No,35,0,3603,76,0,24,2,Month,Active,25,165.555,No
3,No,34,0,1550,38,6,16,3,Month,Not_Active,30,87.52,No
6,No,35,0,2665,47,143,19,2,Month,Active,25,765.54,No
4,No,26,0,1200,30,161,7,2,Contract,Active,25,779.85,No
4,No,25,0,1453,33,0,64,4,Month,Active,45,37.15,No
11,No,26,0,585,19,0,3,2,Month,Not_Active,25,27.18,No
0,No,25,0,710,4,0,1,4,Month,Not_Active,45,17.85,No
10,No,24,0,1110,26,0,9,2,Month,Active,25,51.12,No
2,No,24,0,3110,55,0,19,3,Month,Active,30,126.6,No
2,No,17,0,1580,20,0,10,2,Month,Active,25,72,No
16,No,16,0,6278,135,53,38,1,Contract,Active,15,644.215,No
12,No,14,0,8818,165,41,36,4,Month,Active,45,327.075,No
8,No,15,2,2738,39,0,15,3,Month,Active,30,111.08,No
2,No,8,0,4275,34,183,6,3,Month,Active,30,904.36,No
3,Yes,8,0,1373,13,0,3,2,Month,Active,25,62.37,Yes
10,No,38,0,4560,72,14,20,3,Month,Active,30,241.28,No
2,No,39,0,508,6,16,7,2,Month,Not_Active,25,95.13,No
12,No,37,0,2643,61,368,27,3,Month,Active,30,1580.16,No
12,No,38,0,4388,67,10,38,1,Month,Active,15,300.025,No
5,No,38,0,2583,59,11,36,1,Month,Active,15,205.81,No
13,No,38,1,3965,83,41,31,3,Month,Active,30,325.92,No
6,No,38,0,2550,40,294,21,3,Month,Active,30,1279.6,No
15,No,37,2,9305,122,153,46,3,Month,Active,30,989.08,No
9,No,38,0,13963,170,9,47,3,Month,Active,30,601.32,No
9,No,38,1,4705,84,11,28,3,Month,Active,30,235.56,No
8,No,38,0,6108,96,16,15,3,Month,Active,30,312.16,No
11,Yes,38,0,2428,55,17,20,3,Month,Not_Active,30,167.32,No
27,No,38,3,15330,226,63,35,3,Month,Active,30,874.24,No
6,No,38,1,3285,28,492,11,3,Month,Active,30,2100.52,No
11,No,37,0,15675,183,159,33,2,Month,Active,25,1429.11,No
5,No,37,1,6690,87,195,29,3,Month,Active,30,1051.08,No
2,No,37,0,1065,15,9,14,2,Month,Not_Active,25,89.1,No
4,No,38,0,900,15,22,11,3,Month,Not_Active,30,124.6,No
2,No,37,0,190,1,9,3,2,Month,Not_Active,25,49.095,Yes
5,No,37,0,7698,128,393,46,2,Month,Active,25,2120.67,No
9,No,37,1,11655,155,20,50,4,Month,Active,45,345.25,No
10,No,37,1,6908,76,117,40,2,Month,Active,25,840.78,No
25,Yes,33,0,1145,48,25,20,2,Month,Not_Active,25,166.185,Yes
23,No,36,8,10625,94,10,45,5,Month,Active,55,175.785,No
15,No,36,1,6008,99,35,27,2,Month,Active,25,432.315,Yes
3,No,34,0,3030,23,9,17,3,Month,Active,30,158.12,No
11,Yes,35,0,3180,42,18,19,3,Month,Not_Active,30,200.88,Yes
11,Yes,36,0,2458,45,43,34,3,Month,Not_Active,30,272.12,Yes
2,No,36,0,323,3,9,5,3,Month,Not_Active,30,49.04,Yes
3,No,36,0,1858,26,9,9,3,Month,Active,30,111.36,No
5,No,33,1,6975,98,23,25,5,Month,Active,55,140.595,No
2,No,36,0,818,8,18,7,4,Month,Not_Active,45,65.65,Yes
2,No,36,1,528,5,13,5,5,Month,Active,55,27.495,No
27,No,31,3,16265,239,9,83,2,Month,Active,25,783.18,No
8,No,34,3,7155,117,280,36,2,Contract,Active,25,1587.24,No
4,No,36,0,3908,83,11,31,2,Month,Active,25,229.095,No
5,No,35,0,1855,45,47,23,3,Month,Not_Active,30,264,No
8,No,36,0,2970,54,184,26,2,Month,Active,25,964.08,No
6,Yes,27,1,1505,37,202,14,2,Contract,Active,25,978.39,Yes
6,No,26,0,1758,40,39,71,4,Month,Active,45,142.45,No
13,No,27,0,890,26,19,10,2,Month,Not_Active,25,126.72,No
2,No,26,0,1015,11,30,6,4,Month,Not_Active,45,100.65,No
12,No,25,0,1415,33,28,16,2,Month,Active,25,191.16,No
4,No,25,0,3415,62,17,26,3,Month,Active,30,207.08,No
4,No,18,0,1885,27,37,17,2,Month,Active,25,252.54,No
18,No,17,1,6582,142,94,45,2,Contract,Active,25,725.58,No
14,No,15,0,9122,172,82,43,4,Month,Active,45,437.35,No
10,No,16,3,3042,46,40,22,3,Month,Active,30,283.52,No
4,No,9,1,4580,41,224,13,3,Month,Active,30,1080.84,No
5,No,9,1,1677,20,9,10,3,Month,Active,30,103.88,Yes
6,No,38,0,4180,70,0,14,3,Month,Active,30,170,No
0,No,39,0,128,4,0,1,2,Month,Not_Active,25,5.94,No
8,No,37,0,2263,59,350,21,3,Month,Active,30,1492.88,No
8,No,38,0,4008,65,0,32,1,Month,Active,15,224.015,No
1,No,38,0,2203,57,0,30,1,Month,Active,15,124.3,No
9,No,38,1,3585,81,23,25,3,Month,Active,30,238.64,No
2,No,38,0,2170,38,276,15,3,Month,Active,30,1192.32,No
11,No,37,2,8925,120,135,40,3,Month,Active,30,901.8,No
5,No,38,0,13583,168,0,41,3,Month,Active,30,550.04,No
5,No,38,1,4325,82,0,22,3,Month,Active,30,176.28,No
4,No,38,0,5728,94,0,9,3,Month,Active,30,232.88,No
7,No,38,0,2048,53,0,14,3,Month,Not_Active,30,84.04,No
23,No,38,3,14950,224,45,29,3,Month,Active,30,786.96,No
2,No,38,1,2905,26,474,5,3,Month,Active,30,2013.24,No
7,No,37,0,15295,181,141,27,2,Month,Active,25,1330.92,No
1,No,37,1,6310,85,177,23,3,Month,Active,30,963.8,No
0,No,37,0,685,13,0,8,2,Month,Not_Active,25,31.41,No
0,No,38,0,520,13,4,5,3,Month,Not_Active,30,37.32,No
0,No,37,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
1,No,37,0,7318,126,375,40,2,Month,Active,25,2022.48,No
5,No,37,1,11275,153,2,44,4,Month,Active,45,290.7,No
6,No,37,1,6528,74,99,34,2,Month,Active,25,742.59,No
21,No,33,0,765,46,7,14,2,Month,Not_Active,25,67.995,Yes
19,No,36,8,10245,92,0,39,5,Contract,Active,55,155.055,No
11,No,36,1,5628,97,17,21,2,Month,Active,25,334.125,Yes
0,No,34,0,2650,21,0,11,3,Month,Active,30,106.84,No
7,Yes,35,0,2800,40,0,13,3,Month,Not_Active,30,113.6,Yes
7,No,36,0,2078,43,25,28,3,Month,Not_Active,30,184.84,Yes
0,No,36,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,36,0,1478,24,0,3,3,Month,Active,30,60.08,No
1,No,33,1,6595,96,5,19,5,Month,Active,55,107.865,No
0,No,36,0,438,6,0,1,4,Month,Not_Active,45,11.1,Yes
0,No,36,1,0,0,0,0,5,Month,Active,55,0,No
23,No,31,3,15885,237,0,77,2,Month,Active,25,725.49,No
4,No,34,3,6775,115,262,30,2,Contract,Active,25,1489.05,No
0,No,36,0,3528,81,0,25,2,Month,Active,25,162.405,No
1,No,35,0,1475,43,29,17,3,Month,Not_Active,30,176.72,No
4,No,36,0,2590,52,166,20,2,Month,Active,25,865.89,No
2,No,27,1,1125,35,184,8,2,Contract,Active,25,880.2,No
2,No,26,0,1378,38,21,65,4,Month,Active,45,87.9,No
9,No,27,0,510,24,1,4,2,Month,Not_Active,25,28.53,No
0,No,26,0,635,9,12,1,4,Month,Not_Active,45,46.1,No
8,No,25,0,1035,31,10,10,2,Month,Active,25,92.97,No
0,No,25,0,3035,60,0,20,3,Month,Active,30,123.8,No
0,No,18,0,1505,25,19,11,2,Month,Active,25,154.35,No
14,No,17,1,6202,140,76,39,2,Contract,Active,25,627.39,No
10,No,15,0,8742,170,64,37,4,Month,Active,45,382.8,No
6,No,16,3,2662,44,22,16,3,Month,Active,30,196.24,No
0,No,9,1,4200,39,206,7,3,Month,Active,30,993.56,No
1,No,9,1,1297,18,0,4,3,Month,Active,30,52.6,Yes
6,No,33,0,4370,65,0,16,2,Month,Active,25,199.575,No
0,No,34,0,318,4,0,3,2,Month,Not_Active,25,14.49,No
8,No,32,0,2453,54,351,23,2,Month,Active,25,1692.315,No
8,No,33,0,4198,60,0,34,1,Month,Active,15,234.19,No
1,No,33,0,2393,52,0,32,1,Month,Active,15,134.475,No
9,No,33,0,3775,76,24,27,2,Month,Active,25,281.295,No
2,No,33,0,2360,33,277,17,3,Month,Active,30,1203.72,No
11,No,32,1,9115,115,136,42,3,Month,Active,30,913.2,No
5,No,33,0,13773,163,0,43,3,Month,Active,30,557.44,No
5,No,33,0,4515,77,0,24,3,Month,Active,30,183.68,No
4,No,33,0,5918,89,0,11,2,Month,Active,25,270.315,No
7,Yes,33,0,2238,48,0,16,3,Month,Not_Active,30,91.44,No
23,No,33,2,15140,219,46,31,3,Month,Active,30,798.36,No
2,No,33,0,3095,21,475,7,3,Month,Active,30,2024.64,No
7,No,32,0,15485,176,142,29,2,Month,Active,25,1343.745,No
1,No,32,0,6500,80,178,25,3,Month,Active,30,975.2,No
0,No,32,0,875,8,0,10,2,Month,Not_Active,25,39.735,No
0,No,33,0,710,8,5,7,2,Month,Not_Active,25,54.81,No
0,No,32,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
1,No,32,0,7508,121,376,42,2,Month,Active,25,2035.305,No
5,No,32,0,11465,148,3,46,3,Month,Active,30,476.52,No
6,No,32,0,6718,69,100,36,2,Month,Active,25,755.415,No
21,Yes,28,0,955,41,8,16,2,Month,Not_Active,25,80.82,Yes
19,No,31,7,10435,87,0,41,4,Month,Active,45,263.05,No
11,No,31,0,5818,92,18,23,2,Month,Active,25,346.95,Yes
0,No,29,0,2840,16,0,13,3,Month,Active,30,114.24,No
7,Yes,30,0,2990,35,1,15,2,Month,Not_Active,25,140.625,Yes
7,Yes,31,0,2268,38,26,30,3,Month,Not_Active,30,196.24,Yes
0,Yes,31,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
0,No,31,0,1668,19,0,5,3,Month,Active,30,67.48,No
1,No,28,0,6785,91,6,21,4,Month,Active,45,186.9,No
0,No,31,0,628,1,1,3,4,Month,Not_Active,45,18.225,Yes
0,No,31,0,338,5,0,1,4,Month,Active,45,8.575,No
23,No,26,2,16075,232,0,79,2,Month,Active,25,733.815,No
4,No,29,2,6965,110,263,32,2,Contract,Active,25,1501.875,No
0,No,31,0,3718,76,0,27,2,Month,Active,25,170.73,No
1,No,30,0,1665,38,30,19,3,Month,Not_Active,30,188.12,No
4,No,31,0,2780,47,167,22,2,Month,Active,25,878.715,No
2,No,22,0,1315,30,185,10,2,Contract,Active,25,893.025,No
2,No,21,0,1568,33,22,67,4,Month,Active,45,95.025,No
9,No,22,0,700,19,2,6,2,Month,Not_Active,25,41.355,No
0,No,21,0,825,4,13,2,4,Month,Not_Active,45,53.225,No
8,No,20,0,1225,26,11,12,2,Month,Active,25,105.795,No
0,No,20,0,3225,55,0,22,3,Month,Active,30,131.2,No
0,No,13,0,1695,20,20,13,2,Month,Active,25,167.175,No
14,No,12,0,6392,135,77,41,1,Contract,Active,15,782.485,No
10,No,10,0,8932,165,65,39,4,Month,Active,45,389.925,No
6,No,11,2,2852,39,23,18,3,Month,Active,30,207.64,No
0,No,4,0,4390,34,207,9,3,Month,Active,30,1004.96,No
1,No,4,0,1487,13,0,6,2,Month,Active,25,67.5,Yes
10,No,43,1,4370,77,13,18,3,Month,Active,30,229.88,No
2,No,44,0,318,11,15,5,3,Month,Not_Active,30,73.16,No
12,No,42,1,2453,66,367,25,3,Month,Active,30,1568.76,No
12,No,43,1,4198,72,9,36,1,Month,Active,15,284.35,No
5,No,43,1,2393,64,10,34,2,Month,Active,25,155.565,No
13,No,43,2,3775,88,40,29,3,Month,Active,30,314.52,No
6,No,43,1,2360,45,293,19,4,Month,Active,45,792.625,No
15,No,42,3,9115,127,152,44,3,Month,Active,30,977.68,No
9,No,43,1,13773,175,8,45,3,Month,Active,30,589.92,No
9,No,43,2,4515,89,10,26,3,Month,Active,30,224.16,No
8,No,43,1,5918,101,15,13,3,Month,Active,30,300.76,No
11,Yes,43,0,2238,60,16,18,3,Month,Not_Active,30,155.92,No
